engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIV,CACHEMISS,0x140e8000,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8080,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8100,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8180,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8200,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8280,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8300,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8380,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8400,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8480,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8500,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8580,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8600,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8680,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8700,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8780,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8800,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8880,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8900,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8980,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8a00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8a80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8b00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8b80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8c00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8c80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8d00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8d80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8e00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8e80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8f00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e8f80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9000,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9080,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9100,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9180,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9200,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9280,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9300,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9380,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e9400,40,0.04,1.0,1.0,0
AIC,FIXP,SET_CROSS_CORE,20,0.04,2.0,2.0,0
AIC,CACHEMISS,0x140e4200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4280,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4880,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e4f80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5000,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5080,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5100,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5180,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5280,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5880,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e5f80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6000,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6080,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6100,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6180,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6200,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6280,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6880,20,0.02,1.0,1.0,0
