engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114d1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11521900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11571900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115c1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11611900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11661900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116b1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11701900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11751900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117a1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11349800,2,1,32768,0.553,0.563
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11399800,2,1,32768,0.55,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113e9800,2,1,32768,0.5555,0.604
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11439800,2,1,32768,0.5505,0.559
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11489800,2,1,32768,0.549,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114d9800,2,1,32768,0.541,0.591
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11529800,2,1,32768,0.5495,0.557
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11579800,2,1,32768,0.5355,0.58
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115c9800,2,1,32768,0.562,0.562
