block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
11,cube0,3162.658936,5692786,0.285000,0.000068,0.405556,0.000096,1.445000,0.000343,1.007222,0.000239,26.984829,1.070000,0.000254,42.781647,0.000000,3097.061768,0.734423,97.593330,97.735558,0.000000,0.000000,0.000000,0.000000,129.697784,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.279541,5692103,2505.828857,0.594221,85.258331,0.020218,2.150451,69.489441,0.016478,84.337517,0.000000,1130.821167,0.268158,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.331111,303.737213,8.513889,0.000000,
12,cube0,3163.876709,5694978,0.285000,0.000068,0.405556,0.000096,1.317222,0.000312,0.546667,0.000130,49.718994,0.953889,0.000226,47.989204,0.000000,3094.044922,0.733708,105.104446,105.245003,0.000000,0.000000,0.000000,0.000000,139.731674,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.609375,5694497,2505.828857,0.594221,90.892776,0.021554,2.017145,68.357224,0.016210,85.734421,0.000000,1131.182251,0.268243,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.521667,307.952209,7.752778,0.000000,
13,cube0,3163.863281,5694954,0.285000,0.000068,0.406111,0.000096,1.433333,0.000340,0.591667,0.000140,45.937557,0.978889,0.000232,46.763599,0.000000,3104.835449,0.736266,89.016670,89.158890,0.000000,0.000000,0.000000,0.000000,118.310555,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.524414,5694344,2505.828857,0.594221,89.898888,0.021318,2.039446,74.053886,0.017561,79.139229,0.000000,1130.885010,0.268173,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.547222,307.470001,8.482778,0.000000,
14,cube0,3164.006592,5695212,0.285000,0.000068,0.405000,0.000096,1.530000,0.000363,0.617778,0.000146,43.995945,1.221667,0.000290,37.470421,0.000000,3092.947754,0.733447,107.120003,107.262222,0.000000,0.000000,0.000000,0.000000,142.465561,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.682861,5694629,2505.828857,0.594221,85.554443,0.020288,2.143008,72.458885,0.017183,80.881279,0.000000,1131.334961,0.268280,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.525556,308.939453,7.498889,0.000000,
15,cube0,3163.876221,5694977,0.285000,0.000068,0.405556,0.000096,1.427778,0.000339,0.572222,0.000136,47.498535,1.067778,0.000253,42.870689,0.000000,3095.561768,0.734067,103.011108,103.151665,0.000000,0.000000,0.000000,0.000000,136.998337,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.476074,5694257,2505.828857,0.594221,90.829445,0.021539,2.018551,69.520554,0.016486,84.299774,0.000000,1131.213379,0.268251,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.555556,309.085541,7.449444,0.000000,
16,cube0,3163.152832,5693675,0.285000,0.000068,0.405000,0.000096,1.531667,0.000363,2.161667,0.000513,12.573501,1.156667,0.000274,39.576115,0.000000,3090.682129,0.732910,107.043335,107.185555,0.000000,0.000000,0.000000,0.000000,142.267776,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.875488,5693176,2505.828857,0.594221,89.404999,0.021201,2.050712,69.963333,0.016591,83.766266,0.000000,1131.153931,0.268237,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.521667,304.916107,7.703333,0.000000,
17,cube0,3163.052734,5693495,0.285000,0.000068,0.405556,0.000096,1.462778,0.000347,2.538889,0.000602,10.705359,1.075556,0.000255,42.560669,0.000000,3097.126221,0.734438,97.356667,97.498886,0.000000,0.000000,0.000000,0.000000,129.353333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.673828,5692813,2505.828857,0.594221,88.614998,0.021014,2.068994,74.642220,0.017700,78.515450,0.000000,1131.163330,0.268239,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.550000,304.805542,7.787222,0.000000,
18,cube0,3163.205078,5693769,0.285000,0.000068,0.405556,0.000096,1.481111,0.000351,2.127222,0.000504,12.777094,1.123333,0.000266,40.750473,0.000000,3093.023926,0.733465,103.693336,103.835556,0.000000,0.000000,0.000000,0.000000,137.813339,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.823975,5693083,2505.828857,0.594221,87.000000,0.020631,2.107401,75.257225,0.017846,77.873810,0.000000,1133.136108,0.268707,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.538889,305.053345,5.973333,0.000000,
19,cube0,3163.127686,5693630,0.285000,0.000068,0.405000,0.000096,1.645000,0.000390,2.628889,0.000623,10.338862,1.373333,0.000326,33.332306,0.000000,3083.708252,0.731256,117.593330,117.735558,0.000000,0.000000,0.000000,0.000000,156.306107,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3162.751709,5692953,2505.828857,0.594221,89.397781,0.021199,2.050877,72.454445,0.017182,80.886230,0.000000,1131.042236,0.268210,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.542778,305.142792,7.228333,0.144444,
