engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116e1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11731900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11781900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117d1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11329800,2,1,32768,0.444,0.454
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11379800,2,1,32768,0.5335,0.536
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113c9800,2,1,32768,0.442,0.448
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11419800,2,1,32768,0.5465,0.554
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11469800,2,1,32768,0.553,0.597
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114b9800,2,1,32768,0.532,0.537
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11509800,2,1,32768,0.547,0.554
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11559800,2,1,32768,0.5495,0.591
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115a9800,2,1,32768,0.537,0.542
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115f9800,2,1,32768,0.555,0.589
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11649800,2,1,32768,0.6315,0.707
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11699800,2,1,32768,0.559,0.579
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116e9800,2,1,32768,0.6335,0.708
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11739800,2,1,32768,0.621,0.695
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11789800,2,1,32768,0.5345,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117d9800,2,1,32768,0.618,0.692
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11329900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11379900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113c9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11419900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11469900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114b9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11509900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11559900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115a9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115f9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11649900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11699900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116e9900,2,1,32768,0.236,0.236
