engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIC,CACHEMISS,0x140e6300,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6380,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6400,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6480,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6500,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6580,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6600,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6680,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6700,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6780,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6800,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6880,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6f80,20,0.02,1.0,1.0,0
AIV,CACHEMISS,0x140e9600,4,0.004,1.0,1.0,0
AIC,CUBE,BAR,2,0.002,1.0,1.0,0
AIV,CACHEMISS,0x140e94dc,1,0.001,1.0,1.0,0
AIV,FLOWCTRL,JUMPC,22198,0.0,0.0,0.0,0
AIV,FLOWCTRL,JUMPCMP,18501,0.0,0.0,0.0,0
AIV,FLOWCTRL,JUMP,11082,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMPCMP,10548,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMPC,7168,0.0,0.0,0.0,0
AIV,SCALAR,MOV_SPR_XN,5195,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMP,5036,0.0,0.0,0.0,0
AIV,FLOWCTRL,NOP,2065,0.0,0.0,0.0,0
AIC,FLOWCTRL,NOP,1276,0.0,0.0,0.0,0
AIV,FLOWCTRL,PRELOAD,40,0.0,0.0,0.0,0
AIV,FLOWCTRL,CALL,40,0.0,0.0,0.0,0
AIC,FLOWCTRL,PRELOAD,20,0.0,0.0,0.0,0
AIC,FLOWCTRL,END,20,0.0,0.0,0.0,0
