block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
11,cube0,2241.560059,4034808,34.052776,0.015094,49.205002,0.021811,128.577225,0.056993,23.901667,0.010595,29.346384,143.426117,0.063575,21.809500,0.000000,2197.832275,0.974216,80.844444,123.065552,0.000000,0.000000,0.000000,0.000000,107.351669,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241.080078,4033944,1337.754395,0.592976,77.758888,0.034468,41.173481,108.819443,0.048236,29.420153,0.000000,731.042236,0.324044,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,178.335007,409.505554,0.000000,
12,cube0,2243.121094,4037618,34.052776,0.015094,49.205002,0.021811,124.164444,0.055037,21.717222,0.009626,32.298210,135.407776,0.060021,23.100975,0.000000,2203.523926,0.976739,76.651108,115.727219,0.000000,0.000000,0.000000,0.000000,99.783333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.726074,4036907,1337.754395,0.592976,79.261665,0.035134,40.392841,115.935555,0.051390,27.614347,0.000000,734.905579,0.325756,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,174.941116,408.888885,0.000000,
13,cube0,2247.064941,4044717,34.052776,0.015094,49.205002,0.021811,127.553337,0.056540,22.976667,0.010185,30.527815,139.587784,0.061874,22.409210,0.000000,2206.944336,0.978256,77.298889,116.858330,0.000000,0.000000,0.000000,0.000000,101.429443,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246.616699,4043910,1337.754395,0.592976,76.286667,0.033815,41.968067,117.213333,0.051956,27.313316,0.000000,736.869995,0.326627,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,179.044449,414.100555,0.000000,
14,cube0,2239.052246,4030294,34.052776,0.015094,49.205002,0.021811,123.270554,0.054641,27.230000,0.012070,25.759363,134.431107,0.059588,23.268810,0.000000,2198.812744,0.974651,77.082222,116.481667,0.000000,0.000000,0.000000,0.000000,100.997223,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2238.582275,4029448,1337.754395,0.592976,86.775558,0.038464,36.895226,118.612221,0.052576,26.991186,0.000000,733.891663,0.325307,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,182.033890,399.118896,0.000000,
15,cube0,2247.750000,4045950,34.052776,0.015094,49.205002,0.021811,123.856110,0.054901,26.246111,0.011634,26.725006,135.629440,0.060119,23.063223,0.000000,2205.772217,0.977736,78.681114,119.277222,0.000000,0.000000,0.000000,0.000000,104.759445,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247.256592,4045062,1337.754395,0.592976,95.023331,0.042120,33.692822,119.201668,0.052838,26.857718,0.000000,735.688354,0.326103,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,185.903885,396.526123,0.000000,
16,cube0,2229.504883,4013109,33.886665,0.015021,48.965000,0.021704,123.209442,0.054614,27.083334,0.012005,25.775616,136.674438,0.060583,22.775238,0.000000,2185.528809,0.968763,80.017220,121.707222,0.000000,0.000000,0.000000,0.000000,106.323891,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.072754,4012331,1331.228882,0.590084,89.014999,0.039457,35.791580,117.943336,0.052280,27.011854,0.000000,728.447205,0.322893,201.563339,148.293884,0.000000,0.000000,0.000000,1029.042725,8.505555,194.861115,400.218903,0.327222,
17,cube0,2231.741699,4017135,33.886665,0.015021,48.965000,0.021704,126.776665,0.056195,29.395000,0.013030,23.748583,140.215561,0.062152,22.200054,0.000000,2188.360107,0.970018,79.201668,120.279999,0.000000,0.000000,0.000000,0.000000,105.447777,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2231.257324,4016263,1331.228882,0.590084,82.122223,0.036402,38.795681,117.505554,0.052086,27.112490,0.000000,728.050537,0.322717,201.563339,148.293884,0.000000,0.000000,0.000000,1029.042725,8.505555,202.565002,409.311096,0.588889,
18,cube0,2242.528809,4036552,33.886665,0.015021,48.965000,0.021704,130.695007,0.057932,30.034445,0.013313,23.242968,144.029999,0.063843,21.612116,0.000000,2199.208984,0.974827,78.966110,119.867775,0.000000,0.000000,0.000000,0.000000,105.041664,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.063232,4035714,1331.228882,0.590084,91.323334,0.040480,34.886894,118.598335,0.052570,26.862671,0.000000,726.770020,0.322150,201.563339,148.293884,0.000000,0.000000,0.000000,1029.042725,8.505555,208.822784,403.847778,0.000000,
19,cube0,2242.540039,4036572,33.886665,0.015021,48.965000,0.021704,129.749451,0.057513,28.358334,0.012570,24.616737,143.107224,0.063434,21.751472,0.000000,2198.654541,0.974581,79.588333,120.956665,0.000000,0.000000,0.000000,0.000000,106.062225,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.070068,4035726,1331.228882,0.590084,89.661667,0.039744,35.533443,119.176109,0.052826,26.732441,0.000000,729.118896,0.323191,201.563339,148.293884,0.000000,0.000000,0.000000,1029.042725,8.505555,210.375000,400.918335,0.000000,
